class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
Spoofing,irc,0.0029524087576108,0.0036399023014451,0.0006874935438343,37,33
Spoofing,icmp,0.0029158540308982,0.0035422671527378,0.0006264131218395998,38,34
Spoofing,igmp,0.0025514957723593,0.0046845566683359,0.0021330608959765998,39,27
Web,rate,0.1314029395101138,0.0914783837499003,-0.039924555760213504,1,3
Web,ack_cnt,0.0726607656812869,0.0550519430846568,-0.017608822596630103,3,7
Web,psh,0.0680621411401681,0.0993323029438712,0.031270161803703095,4,2
Web,max,0.0572750594756355,0.0652592016751891,0.007984142199553602,5,5
Web,ttl,0.0535651696939812,0.1096650980636231,0.056099928369641894,6,1
Web,header_len,0.0503766238417554,0.0563872947464024,0.006010670904647006,7,6
Web,avg,0.0488762599949669,0.0343971713975642,-0.014479088597402698,8,12
Web,tot_size,0.0462798166167988,0.0268037211331501,-0.0194760954836487,9,14
Web,ack,0.0414343982730553,0.0358317731966975,-0.005602625076357795,10,10
Web,proto_num,0.0389908730094446,0.0526535089885709,0.0136626359791263,11,8
Web,https,0.0315214235827354,0.0665536795742263,0.035032255991490895,12,4
Web,std,0.0311545104990041,0.0104210468988743,-0.0207334636001298,13,20
Web,tot_sum,0.021546416387842,0.0208408426150705,-0.0007055737727715006,14,15
Web,dns,0.0214157056144927,0.0289351475155433,0.0075194419010506,15,13
Web,iat,0.0213299458856503,0.0119437382197939,-0.009386207665856398,16,18
Web,min,0.0184596599530925,0.0397009981640468,0.021241338210954298,17,9
Web,var,0.0184408024911564,0.0084707917862923,-0.009970010704864099,18,23
Web,fin,0.0173482837936672,0.0162271863995561,-0.0011210973941110994,19,16
Web,http,0.0145962933123955,0.0356398723200267,0.0210435790076312,20,11
Web,syn_cnt,0.0127769175585238,0.0132390421454262,0.00046212458690239946,21,17
Web,syn,0.0101122059488365,0.0061434898590183,-0.0039687160898181995,22,30
Web,tcp,0.008972544077768,0.0091586835746055,0.00018613949683750006,23,22
Web,ece,0.0076998734224361,0.0083433682510842,0.0006434948286481003,24,24
Web,udp,0.0068498051392001,0.0058079081642602,-0.0010418969749399001,25,32
Web,fin_cnt,0.0068393454399063,0.0079506161401766,0.0011112707002703002,26,26
Web,ipv,0.0060518146731702,0.0065400910210817,0.0004882763479115001,27,28
Web,rst,0.0059903357807133,0.0067939758948676,0.0008036401141543002,28,27
